risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
operation,Germany,strike,"""Germany"" strike",德方拟再提购买  战斧  导弹 产能瓶颈待解 _ 军事频道 _ 中华网,https://military.china.com/news/13004177/20260512/49488932.html,military.china.com,Chinese,,20260512T084500Z,2026-05-15T02:02:15.005551
operation,Germany,strike,"""Germany"" strike",自由廣場 》﹙ 鏗鏘集 ﹚ 南韓北朝兩國論 東亞開啟新歷史,https://talk.ltn.com.tw/article/paper/1754643,talk.ltn.com.tw,Chinese,,20260512T234500Z,2026-05-15T02:02:15.005556
operation,Germany,strike,"""Germany"" strike",МВД России объявило в розыск экс - министра обороны Великобритании Уоллеса,https://www.vedomosti.ru/politics/news/2026/05/13/1196997-eks-ministra-oboroni-velikobritanii,vedomosti.ru,Russian,,20260513T134500Z,2026-05-15T02:02:15.005558
operation,Germany,strike,"""Germany"" strike","Green Berets , Navy SEALs launch sprawling NATO exercise across Europe",https://www.stripes.com/theaters/europe/2026-05-12/green-berets-seals-trojan-footprint-21646886.html,stripes.com,English,,20260512T160000Z,2026-05-15T02:02:15.005560
operation,Germany,strike,"""Germany"" strike",Fedorov and Pistorius participate in EU defense ministers meeting online from frontline region,https://en.interfax.com.ua/news/general/1167324.html,en.interfax.com.ua,English,,20260513T133000Z,2026-05-15T02:02:15.005562
operation,Germany,strike,"""Germany"" strike",MLB 》 村上宗隆領跑美聯新人王 ！ 前日職洋投 ： 不意外 - 體育,https://www.chinatimes.com/realtimenews/20260513004249-260403,chinatimes.com,Chinese,,20260513T113000Z,2026-05-15T02:02:15.005564
operation,Germany,strike,"""Germany"" strike",Almanyada grev alarmı : Perakende çalışanları iş bırakıyor,https://www.dunya.com/dunya/almanyada-grev-alarmi-perakende-calisanlari-is-birakiyor-haberi-825099,dunya.com,Turkish,,20260514T084500Z,2026-05-15T02:02:15.005566
operation,Germany,strike,"""Germany"" strike",Einzelhandel - Verdi ruft zu bundesweiten Warnstreiks auf,https://www.deutschlandfunk.de/verdi-ruft-zu-bundesweiten-warnstreiks-auf-110.html,deutschlandfunk.de,German,,20260513T171500Z,2026-05-15T02:02:15.005570
operation,Germany,strike,"""Germany"" strike",中经评论 ： 美关税施压冲击欧洲经济核心支柱 _ 观点评论 _ 财经 _ 中金在线,http://news.cnfol.com/guandianpinglun/20260512/32216280.shtml,news.cnfol.com,Chinese,,20260512T033000Z,2026-05-15T02:02:15.005572
operation,Germany,strike,"""Germany"" strike",抽调部分驻德美军前往波兰 ， 美国  撤军牌  的背后究竟是什么 ？ 欧洲盟友不再买账 _ 军事频道 _ 中华网,https://military.china.com/news/13004177/20260512/49488055.html,military.china.com,Chinese,,20260512T023000Z,2026-05-15T02:02:15.005574
operation,Germany,strike,"""Germany"" strike",삼성전자 노조  일부 인용되도 파업 문제없어  배짱 … 주주단체  긴급조정권 발동해야  ,https://biz.heraldcorp.com/article/10736833,biz.heraldcorp.com,Korean,,20260513T021500Z,2026-05-15T02:02:15.005576
operation,Germany,strike,"""Germany"" strike",수차례 강경 파업 제동 건 美 정부 … 英 · 獨도 핵심산업 보호,https://www.edaily.co.kr/News/Read?newsId=04992166645448592&mediaCodeNo=257,edaily.co.kr,Korean,,20260513T073000Z,2026-05-15T02:02:15.005578
